 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    6.021090       Ave. chord =    1.347000
     CLsurf  =   0.05900     Clsurf  =  -0.01233
     CYsurf  =  -0.00007     Cmsurf  =  -0.13557
     CDsurf  =   0.00029     Cnsurf  =  -0.00018
     CDisurf =   0.00029     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10112     CDsurf  =   0.00050
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   112  -3.3176   0.9527   0.0665   0.1074   0.0064   0.1233   0.1128  -0.0005   0.0000  -0.1239   0.1414    1.349
   113  -3.3874   0.9273   0.0648   0.1049   0.0064   0.1237   0.1131  -0.0008   0.0000  -0.1239   0.1414    1.345
   114  -3.4573   0.9018   0.0630   0.1022   0.0065   0.1240   0.1134  -0.0009   0.0000  -0.1238   0.1414    1.342
   115  -3.5271   0.8764   0.0612   0.0996   0.0066   0.1243   0.1136  -0.0008   0.0000  -0.1237   0.1413    1.338
   116  -3.5970   0.8510   0.0594   0.0969   0.0068   0.1245   0.1138  -0.0003   0.0000  -0.1235   0.1413    1.335
   117  -3.6668   0.8255   0.0577   0.0941   0.0070   0.1247   0.1140  -0.0014   0.0000  -0.1233   0.1411    1.332
   118  -3.7366   0.8001   0.0559   0.0913   0.0073   0.1248   0.1141  -0.0008   0.0000  -0.1230   0.1409    1.329
   119  -3.8065   0.7747   0.0541   0.0883   0.0078   0.1247   0.1140  -0.0005   0.0000  -0.1227   0.1405    1.326
   120  -3.8763   0.7492   0.0523   0.0853   0.0084   0.1245   0.1139  -0.0008   0.0000  -0.1222   0.1400    1.323
   121  -3.9462   0.7238   0.0506   0.0821   0.0092   0.1241   0.1135  -0.0012   0.0000  -0.1214   0.1392    1.320
   122  -4.0160   0.6983   0.0488   0.0787   0.0103   0.1233   0.1128  -0.0013   0.0000  -0.1204   0.1381    1.317
   123  -4.0859   0.6729   0.0470   0.0751   0.0117   0.1220   0.1116  -0.0008   0.0000  -0.1188   0.1364    1.315
   124  -4.1557   0.6475   0.0452   0.0709   0.0138   0.1198   0.1096  -0.0006   0.0000  -0.1164   0.1337    1.313
   125  -4.2255   0.6220   0.0434   0.0661   0.0167   0.1162   0.1063   0.0005   0.0000  -0.1127   0.1294    1.311
   126  -4.2954   0.5966   0.0417   0.0601   0.0209   0.1101   0.1007  -0.0000   0.0000  -0.1065   0.1224    1.308
   127  -4.3652   0.5712   0.0399   0.0517   0.0274   0.0990   0.0905  -0.0017   0.0000  -0.0956   0.1098    1.306
   128  -4.4351   0.5457   0.0381   0.0378   0.0378   0.0758   0.0693  -0.0020   0.0000  -0.0731   0.0840    1.304
 ---------------------------------------------------------------
