 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.02670     Clsurf  =  -0.00458
     CYsurf  =  -0.00053     Cmsurf  =  -0.05370
     CDsurf  =   0.00205     Cnsurf  =   0.00041
     CDisurf =   0.00205     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06600     CDsurf  =   0.00507
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   118  -3.3942   0.6132   0.0269   0.0421   0.0130   0.0757   0.0689  -0.0279   0.0000  -0.0815   0.0917    1.432
   119  -3.4362   0.5989   0.0240   0.0403   0.0155   0.0738   0.0673  -0.0063   0.0000  -0.0795   0.0895    1.431
   120  -3.4743   0.5859   0.0212   0.0382   0.0186   0.0715   0.0652  -0.0039   0.0000  -0.0767   0.0864    1.427
   121  -3.5084   0.5743   0.0184   0.0358   0.0225   0.0684   0.0623  -0.0043   0.0000  -0.0731   0.0824    1.423
   122  -3.5384   0.5641   0.0158   0.0330   0.0271   0.0642   0.0585  -0.0030   0.0000  -0.0683   0.0771    1.418
   123  -3.5643   0.5554   0.0132   0.0297   0.0326   0.0587   0.0534   0.0098   0.0000  -0.0622   0.0703    1.415
   124  -3.5859   0.5480   0.0107   0.0259   0.0394   0.0518   0.0472   0.0086   0.0000  -0.0546   0.0618    1.409
   125  -3.6033   0.5421   0.0083   0.0214   0.0474   0.0432   0.0394   0.0058   0.0000  -0.0454   0.0513    1.403
   126  -3.6164   0.5376   0.0059   0.0161   0.0558   0.0328   0.0299  -0.0018   0.0000  -0.0343   0.0388    1.395
   127  -3.6251   0.5347   0.0035   0.0100   0.0627   0.0206   0.0187   0.0019   0.0000  -0.0214   0.0243    1.393
   128  -3.6295   0.5332   0.0012   0.0034   0.0661   0.0070   0.0064  -0.0003   0.0000  -0.0073   0.0083    1.389
 ---------------------------------------------------------------
