 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.11972     Clsurf  =  -0.02061
     CYsurf  =  -0.00081     Cmsurf  =  -0.12182
     CDsurf  =   0.00604     Cnsurf  =   0.00124
     CDisurf =   0.00604     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.29596     CDsurf  =   0.01493
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    97  -1.8595   1.1349   0.1011   0.3628   0.0264   0.3504   0.3192   0.0605   0.0000  -0.0855   0.1537    0.518
    98  -1.9485   1.1046   0.0981   0.3557   0.0261   0.3532   0.3217   0.0332   0.0000  -0.0854   0.1542    0.516
    99  -2.0372   1.0745   0.0950   0.3482   0.0258   0.3560   0.3243  -0.0219   0.0000  -0.0854   0.1547    0.513
   100  -2.1253   1.0445   0.0917   0.3406   0.0256   0.3581   0.3263  -0.0220   0.0000  -0.0853   0.1551    0.512
   101  -2.2127   1.0148   0.0882   0.3327   0.0254   0.3592   0.3273   0.0703   0.0000  -0.0852   0.1554    0.510
   102  -2.2991   0.9854   0.0846   0.3246   0.0252   0.3613   0.3291   0.0317   0.0000  -0.0851   0.1557    0.509
   103  -2.3843   0.9565   0.0809   0.3163   0.0252   0.3633   0.3309  -0.0205   0.0000  -0.0850   0.1559    0.507
   104  -2.4682   0.9279   0.0771   0.3079   0.0251   0.3640   0.3315   0.0287   0.0000  -0.0849   0.1560    0.506
   105  -2.5505   0.9000   0.0733   0.2992   0.0252   0.3648   0.3323   0.0265   0.0000  -0.0847   0.1560    0.505
   106  -2.6310   0.8726   0.0694   0.2905   0.0254   0.3652   0.3327   0.0244   0.0000  -0.0845   0.1559    0.504
   107  -2.7096   0.8459   0.0656   0.2815   0.0257   0.3655   0.3330  -0.0171   0.0000  -0.0842   0.1556    0.503
   108  -2.7860   0.8199   0.0617   0.2724   0.0262   0.3649   0.3324  -0.0167   0.0000  -0.0839   0.1552    0.502
   109  -2.8601   0.7947   0.0579   0.2632   0.0268   0.3630   0.3306   0.0594   0.0000  -0.0835   0.1546    0.503
   110  -2.9316   0.7704   0.0541   0.2537   0.0275   0.3611   0.3289   0.0489   0.0000  -0.0831   0.1537    0.503
   111  -3.0005   0.7470   0.0504   0.2441   0.0285   0.3583   0.3264   0.0550   0.0000  -0.0825   0.1526    0.503
   112  -3.0665   0.7246   0.0467   0.2343   0.0297   0.3545   0.3229   0.0584   0.0000  -0.0818   0.1512    0.503
   113  -3.1295   0.7031   0.0432   0.2243   0.0312   0.3497   0.3186   0.0521   0.0000  -0.0810   0.1494    0.504
   114  -3.1893   0.6828   0.0397   0.2140   0.0329   0.3430   0.3125   0.1119   0.0000  -0.0800   0.1472    0.506
   115  -3.2458   0.6636   0.0364   0.2034   0.0349   0.3361   0.3062   0.0414   0.0000  -0.0788   0.1444    0.507
   116  -3.2989   0.6456   0.0331   0.1925   0.0374   0.3274   0.2982  -0.0092   0.0000  -0.0773   0.1411    0.509
   117  -3.3484   0.6287   0.0300   0.1811   0.0402   0.3163   0.2881  -0.0098   0.0000  -0.0754   0.1370    0.512
   118  -3.3942   0.6132   0.0269   0.1693   0.0434   0.3037   0.2766  -0.0672   0.0000  -0.0732   0.1322    0.515
   119  -3.4362   0.5989   0.0240   0.1569   0.0472   0.2877   0.2620  -0.0083   0.0000  -0.0705   0.1264    0.519
   120  -3.4743   0.5859   0.0212   0.1439   0.0515   0.2696   0.2456  -0.0050   0.0000  -0.0672   0.1195    0.524
   121  -3.5084   0.5743   0.0184   0.1302   0.0565   0.2489   0.2267  -0.0058   0.0000  -0.0632   0.1114    0.529
   122  -3.5384   0.5641   0.0158   0.1157   0.0622   0.2252   0.2051  -0.0013   0.0000  -0.0584   0.1019    0.535
   123  -3.5643   0.5554   0.0132   0.1004   0.0687   0.1982   0.1806   0.0275   0.0000  -0.0527   0.0910    0.542
   124  -3.5859   0.5480   0.0107   0.0842   0.0764   0.1685   0.1535   0.0229   0.0000  -0.0459   0.0784    0.549
   125  -3.6033   0.5421   0.0083   0.0670   0.0851   0.1356   0.1235   0.0165   0.0000  -0.0379   0.0639    0.557
   126  -3.6164   0.5376   0.0059   0.0489   0.0942   0.0998   0.0909  -0.0018   0.0000  -0.0285   0.0476    0.563
   127  -3.6251   0.5347   0.0035   0.0298   0.1015   0.0611   0.0556   0.0073   0.0000  -0.0178   0.0295    0.570
   128  -3.6295   0.5332   0.0012   0.0100   0.1051   0.0206   0.0187   0.0021   0.0000  -0.0060   0.0100    0.572
 ---------------------------------------------------------------
